i	j	l	x	y
1	2	1	0.01	0.01
1	11	1	0.01	0.01
2	3	1	0.01	0.01
2	12	1	0.01	0.01
3	4	1	0.01	0.01
3	13	1	0.01	0.01
4	5	1	0.01	0.01
4	14	1	0.01	0.01
5	6	1	0.01	0.01
5	15	1	0.01	0.01
6	7	1	0.01	0.01
6	16	1	0.01	0.01
7	8	1	0.01	0.01
7	17	1	0.01	0.01
8	9	1	0.01	0.01
8	18	1	0.01	0.01
9	10	1	0.01	0.01
9	19	1	0.01	0.01
10	20	1	0.01	0.01
11	12	1	0.01	0.01
11	21	1	0.01	0.01
12	13	1	0.01	0.01
12	22	1	0.01	0.01
13	14	1	0.01	0.01
13	23	1	0.01	0.01
14	15	1	0.01	0.01
14	24	1	0.01	0.01
15	16	1	0.01	0.01
15	25	1	0.01	0.01
16	17	1	0.01	0.01
16	26	1	0.01	0.01
17	18	1	0.01	0.01
17	27	1	0.01	0.01
18	19	1	0.01	0.01
18	28	1	0.01	0.01
19	20	1	0.01	0.01
19	29	1	0.01	0.01
20	30	1	0.01	0.01
21	22	1	0.01	0.01
21	31	1	0.01	0.01
22	23	1	0.01	0.01
22	32	1	0.01	0.01
23	24	1	0.01	0.01
23	33	1	0.01	0.01
24	25	1	0.01	0.01
24	34	1	0.01	0.01
25	26	1	0.01	0.01
25	35	1	0.01	0.01
26	27	1	0.01	0.01
26	36	1	0.01	0.01
27	28	1	0.01	0.01
27	37	1	0.01	0.01
28	29	1	0.01	0.01
28	38	1	0.01	0.01
29	30	1	0.01	0.01
29	39	1	0.01	0.01
30	40	1	0.01	0.01
31	32	1	0.01	0.01
31	41	1	0.01	0.01
32	33	1	0.01	0.01
32	42	1	0.01	0.01
33	34	1	0.01	0.01
33	43	1	0.01	0.01
34	35	1	0.01	0.01
34	44	1	0.01	0.01
35	36	1	0.01	0.01
35	45	1	0.01	0.01
36	37	1	0.01	0.01
36	46	1	0.01	0.01
37	38	1	0.01	0.01
37	47	1	0.01	0.01
38	39	1	0.01	0.01
38	48	1	0.01	0.01
39	40	1	0.01	0.01
39	49	1	0.01	0.01
40	50	1	0.01	0.01
41	42	1	0.01	0.01
41	51	1	0.01	0.01
42	43	1	0.01	0.01
42	52	1	0.01	0.01
43	44	1	0.01	0.01
43	53	1	0.01	0.01
44	45	1	0.01	0.01
44	54	1	0.01	0.01
45	46	1	0.01	0.01
45	55	1	0.01	0.01
46	47	1	0.01	0.01
46	56	1	0.01	0.01
47	48	1	0.01	0.01
47	57	1	0.01	0.01
48	49	1	0.01	0.01
48	58	1	0.01	0.01
49	50	1	0.01	0.01
49	59	1	0.01	0.01
50	60	1	0.01	0.01
51	52	1	0.01	0.01
51	61	1	0.01	0.01
52	53	1	0.01	0.01
52	62	1	0.01	0.01
53	54	1	0.01	0.01
53	63	1	0.01	0.01
54	55	1	0.01	0.01
54	64	1	0.01	0.01
55	56	1	0.01	0.01
55	65	1	0.01	0.01
56	57	1	0.01	0.01
56	66	1	0.01	0.01
57	58	1	0.01	0.01
57	67	1	0.01	0.01
58	59	1	0.01	0.01
58	68	1	0.01	0.01
59	60	1	0.01	0.01
59	69	1	0.01	0.01
60	70	1	0.01	0.01
61	62	1	0.01	0.01
61	71	1	0.01	0.01
62	63	1	0.01	0.01
62	72	1	0.01	0.01
63	64	1	0.01	0.01
63	73	1	0.01	0.01
64	65	1	0.01	0.01
64	74	1	0.01	0.01
65	66	1	0.01	0.01
65	75	1	0.01	0.01
66	67	1	0.01	0.01
66	76	1	0.01	0.01
67	68	1	0.01	0.01
67	77	1	0.01	0.01
68	69	1	0.01	0.01
68	78	1	0.01	0.01
69	70	1	0.01	0.01
69	79	1	0.01	0.01
70	80	1	0.01	0.01
71	72	1	0.01	0.01
71	81	1	0.01	0.01
72	73	1	0.01	0.01
72	82	1	0.01	0.01
73	74	1	0.01	0.01
73	83	1	0.01	0.01
74	75	1	0.01	0.01
74	84	1	0.01	0.01
75	76	1	0.01	0.01
75	85	1	0.01	0.01
76	77	1	0.01	0.01
76	86	1	0.01	0.01
77	78	1	0.01	0.01
77	87	1	0.01	0.01
78	79	1	0.01	0.01
78	88	1	0.01	0.01
79	80	1	0.01	0.01
79	89	1	0.01	0.01
80	90	1	0.01	0.01
81	82	1	0.01	0.01
81	91	1	0.01	0.01
82	83	1	0.01	0.01
82	92	1	0.01	0.01
83	84	1	0.01	0.01
83	93	1	0.01	0.01
84	85	1	0.01	0.01
84	94	1	0.01	0.01
85	86	1	0.01	0.01
85	95	1	0.01	0.01
86	87	1	0.01	0.01
86	96	1	0.01	0.01
87	88	1	0.01	0.01
87	97	1	0.01	0.01
88	89	1	0.01	0.01
88	98	1	0.01	0.01
89	90	1	0.01	0.01
89	99	1	0.01	0.01
90	100	1	0.01	0.01
91	92	1	0.01	0.01
92	93	1	0.01	0.01
93	94	1	0.01	0.01
94	95	1	0.01	0.01
95	96	1	0.01	0.01
96	97	1	0.01	0.01
97	98	1	0.01	0.01
98	99	1	0.01	0.01
99	100	1	0.01	0.01
