i	j	l	x	y
1	2	1	0.04	0.04
1	6	1	0.04	0.04
2	3	1	0.04	0.04
2	7	1	0.04	0.04
3	4	1	0.04	0.04
3	8	1	0.04	0.04
4	5	1	0.04	0.04
4	9	1	0.04	0.04
5	10	1	0.04	0.04
6	7	1	0.04	0.04
6	11	1	0.04	0.04
7	8	1	0.04	0.04
7	12	1	0.04	0.04
8	9	1	0.04	0.04
8	13	1	0.04	0.04
9	10	1	0.04	0.04
9	14	1	0.04	0.04
10	15	1	0.04	0.04
11	12	1	0.04	0.04
11	16	1	0.04	0.04
12	13	1	0.04	0.04
12	17	1	0.04	0.04
13	14	1	0.04	0.04
13	18	1	0.04	0.04
14	15	1	0.04	0.04
14	19	1	0.04	0.04
15	20	1	0.04	0.04
16	17	1	0.04	0.04
16	21	1	0.04	0.04
17	18	1	0.04	0.04
17	22	1	0.04	0.04
18	19	1	0.04	0.04
18	23	1	0.04	0.04
19	20	1	0.04	0.04
19	24	1	0.04	0.04
20	25	1	0.04	0.04
21	22	1	0.04	0.04
22	23	1	0.04	0.04
23	24	1	0.04	0.04
24	25	1	0.04	0.04
