i	j	l	x	y
1	2	1	0.008264462809917356	0.008264462809917356
1	12	1	0.008264462809917356	0.008264462809917356
2	3	1	0.008264462809917356	0.008264462809917356
2	13	1	0.008264462809917356	0.008264462809917356
3	4	1	0.008264462809917356	0.008264462809917356
3	14	1	0.008264462809917356	0.008264462809917356
4	5	1	0.008264462809917356	0.008264462809917356
4	15	1	0.008264462809917356	0.008264462809917356
5	6	1	0.008264462809917356	0.008264462809917356
5	16	1	0.008264462809917356	0.008264462809917356
6	7	1	0.008264462809917356	0.008264462809917356
6	17	1	0.008264462809917356	0.008264462809917356
7	8	1	0.008264462809917356	0.008264462809917356
7	18	1	0.008264462809917356	0.008264462809917356
8	9	1	0.008264462809917356	0.008264462809917356
8	19	1	0.008264462809917356	0.008264462809917356
9	10	1	0.008264462809917356	0.008264462809917356
9	20	1	0.008264462809917356	0.008264462809917356
10	11	1	0.008264462809917356	0.008264462809917356
10	21	1	0.008264462809917356	0.008264462809917356
11	22	1	0.008264462809917356	0.008264462809917356
12	13	1	0.008264462809917356	0.008264462809917356
12	23	1	0.008264462809917356	0.008264462809917356
13	14	1	0.008264462809917356	0.008264462809917356
13	24	1	0.008264462809917356	0.008264462809917356
14	15	1	0.008264462809917356	0.008264462809917356
14	25	1	0.008264462809917356	0.008264462809917356
15	16	1	0.008264462809917356	0.008264462809917356
15	26	1	0.008264462809917356	0.008264462809917356
16	17	1	0.008264462809917356	0.008264462809917356
16	27	1	0.008264462809917356	0.008264462809917356
17	18	1	0.008264462809917356	0.008264462809917356
17	28	1	0.008264462809917356	0.008264462809917356
18	19	1	0.008264462809917356	0.008264462809917356
18	29	1	0.008264462809917356	0.008264462809917356
19	20	1	0.008264462809917356	0.008264462809917356
19	30	1	0.008264462809917356	0.008264462809917356
20	21	1	0.008264462809917356	0.008264462809917356
20	31	1	0.008264462809917356	0.008264462809917356
21	22	1	0.008264462809917356	0.008264462809917356
21	32	1	0.008264462809917356	0.008264462809917356
22	33	1	0.008264462809917356	0.008264462809917356
23	24	1	0.008264462809917356	0.008264462809917356
23	34	1	0.008264462809917356	0.008264462809917356
24	25	1	0.008264462809917356	0.008264462809917356
24	35	1	0.008264462809917356	0.008264462809917356
25	26	1	0.008264462809917356	0.008264462809917356
25	36	1	0.008264462809917356	0.008264462809917356
26	27	1	0.008264462809917356	0.008264462809917356
26	37	1	0.008264462809917356	0.008264462809917356
27	28	1	0.008264462809917356	0.008264462809917356
27	38	1	0.008264462809917356	0.008264462809917356
28	29	1	0.008264462809917356	0.008264462809917356
28	39	1	0.008264462809917356	0.008264462809917356
29	30	1	0.008264462809917356	0.008264462809917356
29	40	1	0.008264462809917356	0.008264462809917356
30	31	1	0.008264462809917356	0.008264462809917356
30	41	1	0.008264462809917356	0.008264462809917356
31	32	1	0.008264462809917356	0.008264462809917356
31	42	1	0.008264462809917356	0.008264462809917356
32	33	1	0.008264462809917356	0.008264462809917356
32	43	1	0.008264462809917356	0.008264462809917356
33	44	1	0.008264462809917356	0.008264462809917356
34	35	1	0.008264462809917356	0.008264462809917356
34	45	1	0.008264462809917356	0.008264462809917356
35	36	1	0.008264462809917356	0.008264462809917356
35	46	1	0.008264462809917356	0.008264462809917356
36	37	1	0.008264462809917356	0.008264462809917356
36	47	1	0.008264462809917356	0.008264462809917356
37	38	1	0.008264462809917356	0.008264462809917356
37	48	1	0.008264462809917356	0.008264462809917356
38	39	1	0.008264462809917356	0.008264462809917356
38	49	1	0.008264462809917356	0.008264462809917356
39	40	1	0.008264462809917356	0.008264462809917356
39	50	1	0.008264462809917356	0.008264462809917356
40	41	1	0.008264462809917356	0.008264462809917356
40	51	1	0.008264462809917356	0.008264462809917356
41	42	1	0.008264462809917356	0.008264462809917356
41	52	1	0.008264462809917356	0.008264462809917356
42	43	1	0.008264462809917356	0.008264462809917356
42	53	1	0.008264462809917356	0.008264462809917356
43	44	1	0.008264462809917356	0.008264462809917356
43	54	1	0.008264462809917356	0.008264462809917356
44	55	1	0.008264462809917356	0.008264462809917356
45	46	1	0.008264462809917356	0.008264462809917356
45	56	1	0.008264462809917356	0.008264462809917356
46	47	1	0.008264462809917356	0.008264462809917356
46	57	1	0.008264462809917356	0.008264462809917356
47	48	1	0.008264462809917356	0.008264462809917356
47	58	1	0.008264462809917356	0.008264462809917356
48	49	1	0.008264462809917356	0.008264462809917356
48	59	1	0.008264462809917356	0.008264462809917356
49	50	1	0.008264462809917356	0.008264462809917356
49	60	1	0.008264462809917356	0.008264462809917356
50	51	1	0.008264462809917356	0.008264462809917356
50	61	1	0.008264462809917356	0.008264462809917356
51	52	1	0.008264462809917356	0.008264462809917356
51	62	1	0.008264462809917356	0.008264462809917356
52	53	1	0.008264462809917356	0.008264462809917356
52	63	1	0.008264462809917356	0.008264462809917356
53	54	1	0.008264462809917356	0.008264462809917356
53	64	1	0.008264462809917356	0.008264462809917356
54	55	1	0.008264462809917356	0.008264462809917356
54	65	1	0.008264462809917356	0.008264462809917356
55	66	1	0.008264462809917356	0.008264462809917356
56	57	1	0.008264462809917356	0.008264462809917356
56	67	1	0.008264462809917356	0.008264462809917356
57	58	1	0.008264462809917356	0.008264462809917356
57	68	1	0.008264462809917356	0.008264462809917356
58	59	1	0.008264462809917356	0.008264462809917356
58	69	1	0.008264462809917356	0.008264462809917356
59	60	1	0.008264462809917356	0.008264462809917356
59	70	1	0.008264462809917356	0.008264462809917356
60	61	1	0.008264462809917356	0.008264462809917356
60	71	1	0.008264462809917356	0.008264462809917356
61	62	1	0.008264462809917356	0.008264462809917356
61	72	1	0.008264462809917356	0.008264462809917356
